,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt,lang,pred_label
11,Lavender,https://yt3.ggpht.com/0DLTVlZvUoKTrWWmhegS9Syn7ZlckIQ2-pWmo5WYEcMLJbNOr9zOmWQXN_-qRG564Rd3H3QXwA4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSLB0E3jkLM3T0U8VEjen7w,{'value': 'UCSLB0E3jkLM3T0U8VEjen7w'},UCAQg09FkoobmLquNNoO4ulg,tzSKTg4KuZY,There is no such thing as an &quot;American&quot; accent. Its very regional,"There is no such thing as an ""American"" accent. Its very regional",,True,none,0,,2023-10-15T01:13:39Z,2023-10-15T01:13:39Z,en,Questions
12,A-51 Labs Studio,https://yt3.ggpht.com/N-uXteK6aFIIV80KojTVZ0CrW4RtlfkKJA-nCGBvs5Js6xx2dQ4r9Ljb_LDJgsPNshXlz-3yXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCR2-0-BNGU3zHjEUZwmO2HQ,{'value': 'UCR2-0-BNGU3zHjEUZwmO2HQ'},UCAQg09FkoobmLquNNoO4ulg,f9ED2shSRJg,Working with Americans and Canadians who&#39;ll exploit you unless you&#39;re a top professional.  This is rubbish Marina. Stick to your English.,Working with Americans and Canadians who'll exploit you unless you're a top professional.  This is rubbish Marina. Stick to your English.,,True,none,0,,2023-10-15T00:30:44Z,2023-10-15T00:30:44Z,en,Irrelevant
13,Sophie Brionesmonette,https://yt3.ggpht.com/ytc/APkrFKZ_ytwnftOs0es04PlL_wv8OE6h5Jz4i3qJVtC7gMOzIg_SbJLhhEXKLR4ZgkRX=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCEbldQFNOAg1_IB85vW32RQ,{'value': 'UCEbldQFNOAg1_IB85vW32RQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,The last one I was watching with my brother and he said that girl is sus,The last one I was watching with my brother and he said that girl is sus,,True,none,0,,2023-10-15T00:13:14Z,2023-10-15T00:13:23Z,en,Constructive Criticism
14,Mask_Mysterious,https://yt3.ggpht.com/efslXc4qQyrpdb_MgCX9BdO3QPiTqgOurjCfdzOWBW0IGrb5WU2VIg80tK3HShMI2V3l7D0ECQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC8OPlUUrqTMoQwnmrhqI2FQ,{'value': 'UC8OPlUUrqTMoQwnmrhqI2FQ'},UCAQg09FkoobmLquNNoO4ulg,lKkIBuBKaYQ,If chips are fries in uk then is fries chips in uk,If chips are fries in uk then is fries chips in uk,,True,none,0,,2023-10-14T23:43:36Z,2023-10-14T23:43:36Z,en,Questions
16,Karen Long,https://yt3.ggpht.com/ytc/APkrFKZdInunSDHa1pEVxpdzwEQp6Y5PQkulqACEWuwtjSIYnxOjMBJW77TeVs09l6_2=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC8XibGprXyzw9MiBfSNawiw,{'value': 'UC8XibGprXyzw9MiBfSNawiw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Who the hell is calling it an aubergine?,Who the hell is calling it an aubergine?,,True,none,0,,2023-10-14T22:17:23Z,2023-10-14T22:17:23Z,en,Questions
17,ikram nader,https://yt3.ggpht.com/ytc/APkrFKbmZdT1z6fXEeoFaSwYEuv1pt9TdxaiaPpJsBG3_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOjjnu1bu9sYuXJX3FEfypA,{'value': 'UCOjjnu1bu9sYuXJX3FEfypA'},UCAQg09FkoobmLquNNoO4ulg,jU3bd_vTJdk,"Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee","Dear foreigner, do not let the media mislead you about what is happening... Gaza has been under siege for eight days. There is no food, no water, no electricity, and no internet. Children and women are brutally bo*bed every day, hospitals declare that they are unable to absorb The huge number of wo*nded and marty*s...Israel is committing a crim*e against humanity ...and under the eyes of the whole world... And for the ones looking for the truth check @motaz_azaiza @saleh_aljafarawi @ahmedhijazee",,True,none,0,,2023-10-14T22:04:55Z,2023-10-14T22:04:55Z,en,Questions
18,ikram nader,https://yt3.ggpht.com/ytc/APkrFKbmZdT1z6fXEeoFaSwYEuv1pt9TdxaiaPpJsBG3_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOjjnu1bu9sYuXJX3FEfypA,{'value': 'UCOjjnu1bu9sYuXJX3FEfypA'},UCAQg09FkoobmLquNNoO4ulg,jU3bd_vTJdk,"Hello, please read this 🙏🏻 This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They&#39;re letting them star&quot;ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! ✊🏻","Hello, please read this 🙏🏻 This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They're letting them star""ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! ✊🏻",,True,none,0,,2023-10-14T22:04:51Z,2023-10-14T22:04:51Z,en,Positive Feedback
20,Milad Milad,https://yt3.ggpht.com/ytc/APkrFKZwHnuUY9JAg-nxxYa_VAPm1307z6zmxDuqac8o45uJjK5x2ppsy7MN7hj-mwVP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCn4l5ReSIsRQt-XDjhs1YCg,{'value': 'UCn4l5ReSIsRQt-XDjhs1YCg'},UCAQg09FkoobmLquNNoO4ulg,Jzs91sQazrk,I was born in Syria<br>Yes I do have one brother<br>Every Friday and sometimes in Saturday and Thursday<br>I would like to see you marina<br>I would like to visit USA,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",,True,none,0,,2023-10-14T21:42:23Z,2023-10-14T21:42:23Z,en,Personal Story
22,Борис Иванов,https://yt3.ggpht.com/ytc/APkrFKZ9GbCgrgfXGX3cF3AweVVJfxiiDdLTsaWa2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjWHk43DpPz70xm78mep4aQ,{'value': 'UCjWHk43DpPz70xm78mep4aQ'},UCAQg09FkoobmLquNNoO4ulg,oaqRo4zgguI,Very cute Emily ❤,Very cute Emily ❤,,True,none,0,,2023-10-14T21:31:49Z,2023-10-14T21:31:49Z,en,Positive Feedback
23,Moin Moin Rhabarber,https://yt3.ggpht.com/ytc/APkrFKZ-njxM0896a8NREs6EHxbHhErWzufjLIa389K6zckxGgHv5cIucEhhlHrKg7eC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLK4QkCJ3CyTAGhuMFoFrrg,{'value': 'UCLK4QkCJ3CyTAGhuMFoFrrg'},UCAQg09FkoobmLquNNoO4ulg,U4cIssgL3VE,As a German this is one of the few times I hear a foreigner actually speaking German well. 😅👍,As a German this is one of the few times I hear a foreigner actually speaking German well. 😅👍,,True,none,0,,2023-10-14T21:17:23Z,2023-10-14T21:17:23Z,en,New Subscriber
25,HarrisonKW10,https://yt3.ggpht.com/R3K16GkjDbu1L0oLwYBiDndZctcCxzPHdm9VfFgzQ3oQl8MOXrBXegJRdcFGuQcww7RHGz6vKw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgdW4vK8a6frA4YLC5IQjNQ,{'value': 'UCgdW4vK8a6frA4YLC5IQjNQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I’m British but I got two British ones…,I’m British but I got two British ones…,,True,none,0,,2023-10-14T21:01:20Z,2023-10-14T21:01:20Z,en,Personal Story
27,HiNoMegami,https://yt3.ggpht.com/ytc/APkrFKZEZah-P-K_S7q7PH9q9mSPbt19uXrW_ZeKiynTbg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCit7UZpWkjGrUO8rSWffOzA,{'value': 'UCit7UZpWkjGrUO8rSWffOzA'},UCAQg09FkoobmLquNNoO4ulg,-6SV54Yqnjg,since entrepreneur is taken from French it&#39;s really easy for me x),since entrepreneur is taken from French it's really easy for me x),,True,none,0,,2023-10-14T20:34:24Z,2023-10-14T20:34:24Z,en,Joking
29,Lang Truong,https://yt3.ggpht.com/ytc/APkrFKZOPMsu6rLvQr11rE_ralFfEciyEyFSHPfizw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCIBQ13l5ELKdfj9uqtexXg,{'value': 'UCCIBQ13l5ELKdfj9uqtexXg'},UCAQg09FkoobmLquNNoO4ulg,-6SV54Yqnjg,I fail the last one,I fail the last one,,True,none,0,,2023-10-14T20:30:52Z,2023-10-14T20:30:52Z,en,Error in the video
30,theotherobsidian,https://yt3.ggpht.com/DuqywSgSafHtcBYY6bo7w5r7hgzk9sTQSCqzQ9ho2-nRi6_17w94Cbx9wSz0Krr3YCckQKB0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFZEQlFsZzngow09H5mA4Kg,{'value': 'UCFZEQlFsZzngow09H5mA4Kg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,America:eggplant<br>British:aubergine<br>Me:pp,"America:eggplant
British:aubergine
Me:pp",,True,none,0,,2023-10-14T20:25:30Z,2023-10-14T20:25:30Z,en,Constructive Criticism
31,hi_bye_lie.-.,https://yt3.ggpht.com/4GsivM_1vV42Hm1t3JZ69xxfOxrFT0fuWknP-QkkN7siqytN3UyIGBgZhoGKZju0U6UceBX6=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3hHkdZmuAk-dAgwrxREouw,{'value': 'UC3hHkdZmuAk-dAgwrxREouw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Me when I&#39;m a mixture of both 😂,Me when I'm a mixture of both 😂,,True,none,0,,2023-10-14T20:24:10Z,2023-10-14T20:24:10Z,en,Joking
32,Jeannite Family,https://yt3.ggpht.com/RVbSTYd_hj2B5w6L9a1OwjFB2MCnLgBbRTBfGVR_JIftCWb_sR6xQ9XsXWcPJd68fvp8mxRI2w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkflpc7i80wPY4OHgmeeo5Q,{'value': 'UCkflpc7i80wPY4OHgmeeo5Q'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,It&#39;s similar to French,It's similar to French,,True,none,0,,2023-10-14T20:02:58Z,2023-10-14T20:02:58Z,en,Community
33,Roselin Morales,https://yt3.ggpht.com/ytc/APkrFKYlO7SRgSPof_5pUk6CVhDmuzMmJVwWXqlxfZ7d8FVroZRAKhvFqyyLESigIpGH=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC5v9J0KJk1Bn3BXCjQvBGtA,{'value': 'UC5v9J0KJk1Bn3BXCjQvBGtA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American people:eggplant<br>Me:dick,"American people:eggplant
Me:dick",,True,none,0,,2023-10-14T19:58:19Z,2023-10-14T19:58:19Z,en,Constructive Criticism
34,hdwumah,https://yt3.ggpht.com/ytc/APkrFKaFExhaI4V8wwLXNC4bd8qPUREJQgVNzz0OXg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCisI9z3LgnREZqnB4P9uAoQ,{'value': 'UCisI9z3LgnREZqnB4P9uAoQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,,True,none,0,,2023-10-14T19:48:36Z,2023-10-14T19:48:36Z,en,Joking
35,@skeleton,https://yt3.ggpht.com/zwJrkIq-u5VsYrYEkFUhG6DvI3mK_e9uN6qYDfFRXg4exp71st8DkYA80bshgN2UvNWPcv4v_Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbuTT2kmIDK2gf5L0jQii8A,{'value': 'UCbuTT2kmIDK2gf5L0jQii8A'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,In Romania is not eggplant is Dick,In Romania is not eggplant is Dick,,True,none,0,,2023-10-14T19:36:16Z,2023-10-14T19:36:16Z,en,Error in the video
36,Rooster 1945,https://yt3.ggpht.com/NFGIh2HqGL2kSu6O5NCmG2WRWemuYexfIrRTDVcj9FXHxRS9m-rTptjjld0C2kqxgpR2B3_Jdg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDVk0d-rNBGrYrwUhgiAj9g,{'value': 'UCDVk0d-rNBGrYrwUhgiAj9g'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,America: candy<br>British: sweets<br>My mom: diabetes,"America: candy
British: sweets
My mom: diabetes",,True,none,0,,2023-10-14T19:31:51Z,2023-10-14T19:31:51Z,en,Constructive Criticism
37,Daniel,https://yt3.ggpht.com/ytc/APkrFKZ-tI79EEzqAu1V6usYoEgw3ntLLBXMVv2qJuew5uwSlVIpUVHJAsJbFG8P155O=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIe8xaWstaAi922yMX0WWJw,{'value': 'UCIe8xaWstaAi922yMX0WWJw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Last he I thought in American she is gonna say penis,Last he I thought in American she is gonna say penis,,True,none,0,,2023-10-14T19:25:30Z,2023-10-14T19:25:30Z,en,Error in the video
38,Lafita,https://yt3.ggpht.com/sA23DQlYcANNtAqEOQKtu_vg8MG2FmhCCwpAcgC0dk63iTshPCLf6j-VKfbPecQUiNf3xv6ZlO0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCph9Gy0u3ET0snkFXoa3VEQ,{'value': 'UCph9Gy0u3ET0snkFXoa3VEQ'},UCAQg09FkoobmLquNNoO4ulg,ciM0UBHJEvs,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,,True,none,0,,2023-10-14T19:20:23Z,2023-10-14T19:20:23Z,en,Positive Feedback
39,Батягина Ульяна,https://yt3.ggpht.com/ytc/APkrFKZUdPGxmsuHB2SVXDuxdupdN7GLvQXux6cozn7OEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbMcx-dobRbdoFwGyp-rEhw,{'value': 'UCbMcx-dobRbdoFwGyp-rEhw'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊","Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊",,True,none,0,,2023-10-14T19:10:23Z,2023-10-14T19:10:23Z,en,Personal Story
43,Star Dust,https://yt3.ggpht.com/ytc/APkrFKay60PN4VX15WwOsqwbpE_VHaH6vL2NOItThO5rE36lgvCX6Da8axEFnVxMUzPY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGygxHzS9WyXlFNwQ6EJ4tg,{'value': 'UCGygxHzS9WyXlFNwQ6EJ4tg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨","Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨",,True,none,0,,2023-10-14T19:00:08Z,2023-10-14T19:00:08Z,en,Joking
44,hey there🙃,https://yt3.ggpht.com/p_xd-Xt9bEagIV8_GIh-gLYbZ2O7TgT5vGSTdm3hq9X8DpcllnblBNXFD-khWKyKIk7Tv1l-=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZW2tPetPe7rC5rZFws4Y3A,{'value': 'UCZW2tPetPe7rC5rZFws4Y3A'},UCAQg09FkoobmLquNNoO4ulg,iNCHuD7LI1s,seriously ! i do say this word all the time😂😂😂😂,seriously ! i do say this word all the time😂😂😂😂,,True,none,0,,2023-10-14T18:16:03Z,2023-10-14T18:16:03Z,en,Joking
45,grainne kelly,https://yt3.ggpht.com/ytc/APkrFKYRIVoHkA1hkLDdmDxIIT6RRSHVy2VIj4eTE4DBmhtb3IZHpj0ec-niOrDIzY5k=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGizgw8G7ASVFdTFpUVjxvg,{'value': 'UCGizgw8G7ASVFdTFpUVjxvg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,It’s not only British people who say stuff like that. It’s kind of sad that Britain get more of the credit about what we both say,It’s not only British people who say stuff like that. It’s kind of sad that Britain get more of the credit about what we both say,,True,none,1,,2023-10-14T18:14:57Z,2023-10-14T18:14:57Z,en,Personal Story
47,fanta lover123,https://yt3.ggpht.com/k3Outjwg1tjA4j52rHaKZWmdhbAbM7GCzF6d1xZN6vsn-jPG_kI8fvJCGGxiKezTYI2-Ruso=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCcGXNg7pAir9oFztXgEVYaw,{'value': 'UCcGXNg7pAir9oFztXgEVYaw'},UCAQg09FkoobmLquNNoO4ulg,lQhNORhXaNk,POV my bff explaining English for me because the teacher is confusing,POV my bff explaining English for me because the teacher is confusing,,True,none,0,,2023-10-14T17:58:27Z,2023-10-14T17:58:27Z,en,Positive Feedback
48,Surekha Thakur,https://yt3.ggpht.com/ytc/APkrFKbfA7a27ACKf7uVkpADI_CuROF6r11ohkexdw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCYBVPG3tuii08pPcKOM7F_Q,{'value': 'UCYBVPG3tuii08pPcKOM7F_Q'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Who hate british 👇,Who hate british 👇,,True,none,0,,2023-10-14T17:57:45Z,2023-10-14T17:57:45Z,en,Constructive Criticism
49,Ridwan Faisal,https://yt3.ggpht.com/ytc/APkrFKaJnzEfsUIIx_NCv6s4KSHzgnMl-4TtFf_uUfWw6w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDv1pOrjv7tbd_mOn_V_Oxg,{'value': 'UCDv1pOrjv7tbd_mOn_V_Oxg'},UCAQg09FkoobmLquNNoO4ulg,Xf0_eAAufQs,"I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I&#39;m incapable to achive mygoals , that I&#39;m capable to get my goals.","I want to work abroad, have friends from different countries, change my life for the better and show everyone who thinks I'm incapable to achive mygoals , that I'm capable to get my goals.",,True,none,0,,2023-10-14T17:55:03Z,2023-10-14T17:55:03Z,en,Questions
50,Youtubecx3max,https://yt3.ggpht.com/6r2Py_wp2eDN84FKo4P75XSU5v5mWo73rZHlnjc-rOLyXtikmaz76Av6QQNrHb0B_UWSSHMiQw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCUDiJmzcO6VlX7HIqtUSWyQ,{'value': 'UCUDiJmzcO6VlX7HIqtUSWyQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,British: Aubergine<br>American: Eggplant<br>India: Baigannn 😂😂,"British: Aubergine
American: Eggplant
India: Baigannn 😂😂",,True,none,0,,2023-10-14T17:54:05Z,2023-10-14T17:54:05Z,en,Error in the video
51,el muñeco feroz,https://yt3.ggpht.com/ytc/APkrFKaMY1Tze6Uv1lHLri2nOtJ7t1r6g7Snw8PItggUe6I=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCarR11tGUb3bw2mNj9WvPew,{'value': 'UCarR11tGUb3bw2mNj9WvPew'},UCAQg09FkoobmLquNNoO4ulg,6VHjpb5jHY8,I did not not know cactus,I did not not know cactus,,True,none,0,,2023-10-14T17:47:03Z,2023-10-14T17:47:03Z,en,Error in the video
53,Chinki And Ladoo Show,https://yt3.ggpht.com/UtjEiseAGQIZj4KvWzL_gQ8ANny1001YZ20NxRKu0Qv-HJ25Ye30Lq-dw9mQ5ioWRHFoInCKGPI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPpKcuOgnTCDlhyi8jcM2Fw,{'value': 'UCPpKcuOgnTCDlhyi8jcM2Fw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I am half British and Half American 🤦☠️☠️💀💀,I am half British and Half American 🤦☠️☠️💀💀,,True,none,1,,2023-10-14T17:30:00Z,2023-10-14T17:30:00Z,en,Personal Story
