,textOriginal,cluster
145,I say all in Tamil  because  that is my mother language 😊😅,0
146,Am I the one that said di-,1
147,"In india
Trucck
Toffe
Biscuth
Shuter
Bhata",4
150,Thanks so much❤,3
152,"American:eggplant
British :aubergine 
Me: p***s",2
153,American + British + hindi = Indian 😅😅😂,0
154,I called that purple thing and avocado,1
156,I am watching from India.,3
157,"American=egg plant
British=aubergine 
Indian=brinjal 😅",2
158,Me : brinjal ( but still i speak American English),0
159,I  was  gna  say  the  worlds  biggest  gyat  DI-,1
160,I have coherent planning for my startup.,3
161,"Hey Marina,
If you are dare enough confront with me.",1
162,In my school we learn British English and I knew half of these,0
163,who said u can make up british accents,0
164,Thank you very much for the very informative lesson!,3
165,😢Save the people of Palestine 🇵🇸,1
166,"America: eggplant
British: aubergine 

Me: DIC-",2
167,Me telling candy tophy just indian things..,4
168,"People who said tofee and bringal
👇",1
169,American English,0
170,Who say American English 👉🏻,0
171,I call cloudy overcast,1
172,Australians:,0
173,Getting all of these questions right from her gives me a confidence boost!,3
174,100% American😂,1
177,"My list;
Money
Truck
Trainers
Band aid
French fries",4
179,Im supposed to speak british but i speak american,0
182,I'm new subscriber mam. And thank you so much for best teaching.,3
183,"I’m an Australian, which means we usually follow British English, but I say all American… 😭😭",0
184,"Please read this 🙏
The Isra*li occupation, a fact even acknowledged by Israel*s, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palest*ne. This historical context is essential to understanding the plight of Palest*n*ans. For over 70 years, Palest*n*ans have endured displacement, restricted movement, and lived under harsh conditions. The term “apartheid” aptly describes the segregation and discrimination they face in their own land, marked by numerous Isra*li checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. It’s important to note that Ham*as, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israel*s today I hope you felt sorry for Palest*n*ans for the past 70 years 🙏. Give the people their homes and country back.🙏",1
186,Indians: toffee,4
187,Thank you so much for the information and I really want to study in United States of America,3
188,Mate an indian and i speak british fluently and am 9😂😂😂😂😂,0
192,"I have a problem. 
When i read, or write english i can understand perfectly, but is hard to me to understand people talking",3
193,"English - eggplant
British - Aubergine


Me - brinjal 😅😂",2
194,"Im an aussie and only 1 of them were right

Cucumber  
Torch
Bin
Servo
Phone",1
195,"Cucumber 
Torch
Bin
Petrol station
Phone",1
196,I am from Malaysian,0
197,Nice.  Teacher,3
198,"I said money instead of bill, but anyways I speak American English",0
201,"Today she's gonna go her home on croissant, sleep onto croissant,  take shower with that croissant and marry with croissant🥐😅😂",1
203,"no cause I said:
money and shoes",1
204,Nice.  Teacher,3
205,"American :eggplant 
British: aubergine







Me: brinjal😅",2
206,Thanks for the phrases it was really helpful.,3
208,"in canada i call it a bill, truck, running shoes, and fresh fries SHOUT OUT TO THE BELGIANS!!",4
209,"I didn´t delete that line of my comment, this media thing did that",1
210,"Great question Marina! I think that technology is making a revolution not only in the way we learn -or even are ""necessary"" as human beings- but only in the political and power system: to whom we confer authority and why?. I think self-conscious people, with a critical mind and self-discipline values and desire to get better, will always defend their rights to speak by themselves, and think by themselves. Technology doesn´t replace our right to think by ourselves. I think that smart self conscious people will always want to learn and acquire foreign languages by themselves to expand their horizons and consciousness. Maybe with the help -assistance of technlogy as a training tool-, never replacing the ability to think by themselves and learning from other human beings. We human beings create the language, and we are the ones that make them evolve, technology is only a tool. But that said, for those people that are lazy, don't care to think by themselves, and blindly trust technology, well, yes, they are just going to use apps. The other people, we are going to continue exercising our brains, imagination and emotions.",3
211,"Her: Bill/Note
Me: ""Money, Cash, Buckarooes""",1
212,I was scared for the eggplant one 😂,2
213,"thank you ,  from Sri Lanka",3
214,"""Petrol"" that means peppa pig is British 💀",4
215,"Native English speaker here. US born and raised, and I think it's really cool all the different accents. Almost all of the time, native speakers will understand you just fine. Don't be ashamed of your accent. Try to speak clearly, but no reason to try super hard to cover it up all the time.",0
216,"American: trash can
British: dustbin
me: trash bin",4
217,"English is my second language, I always get confused between American and British English",0
218,B2-C1 but i have a lot to learn,3
219,No the biscuit i actually a cookie things like custard creams are biscuits,4
220,"American: Eggplant
British: Aubergine 
Me: Dick",2
221,I’m feeling the lack of Australian here. Ours is a mix of both but Australia always gets left out like hello our first language is English too,0
222,bruh im from Philipines im supposed to speak tagalog so im english american if thats how you call,0
223,"Please read this 🙏
The Israeli occupation, a fact even acknowledged by Israelis, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palestine. This historical context is essential to understanding the plight of Palestinians. For over 70 years, Palestinians have endured displacement, restricted movement, and lived under harsh conditions. The term “apartheid” aptly describes the segregation and discrimination they face in their own land, marked by numerous Israeli checkpoints. Despite countless peaceful attempts, oppression persists, leading to further land loss and human suffering. It’s important to note that Hamas, often a focus of international attention, emerged as a response to active resistance against this enduring injustice. If you trying to feel sorry for Israelis today I hope you felt sorry for Palestinians for the past 70 years 🇵🇸🙏. Give the people their homes and country back.🇵🇸🙏",3
226,What will happen if they don’t reply with di are u goin to die lol,1
229,@linguamarina Hey this is completely unrelated but how can you stay fit😊,3
230,Who saw the eggplant first....,2
232,I really said penis,1
234,the first one was a cucumber,1
235,POV ur dirty minded and something else comes to mind for the last one😅😅,1
238,This is telling I need to keep practicing. Thank u Marina 😊,3
239,That is not a sweater or a thing it’s a hoodie💅🏼,1
240,IAM extremly happy to follow you my daughter IAM 60years i adore english IAM mroccan,3
242,american english for mr,0
243,5/5 America OHH YEAH AMERICAN 🇺🇸 SWEET HIME AMERICA 🇺🇸 🇺🇸 🇺🇸,0
244,nobody gone say: i ate aubergine taste candy with biscuits and then fell in to the lorry and found a jumper,4
245,Both,1
246,Im Nigerian we got colonized by england so we have same English but i was raised in America so i call it both,0
247,American,0
248,Cucumber 🥒,1
252,Nice my friend good,1
254,This is my gifts for you❤ my friend,1
258,THIS IS A CUCUMBER 🥒 THIS IS A ZUCCHINI 🍠.. NO ITS NOT YOU MADE ME LOSE BRAINCELLS,1
259,Amerakin english,0
261,"very important : crucial, vital, indespensable 
very smart: clever , intelligent ,brilliant
very bad; awful, horrendous , 
very big; tremendous, huge, massive , 
very easy : straightforward, handy,",3
262,I ain't even American or British am South African,0
265,"i LOVE YOU, MARINA! OMG. I WAS A SUBSCRIBER WHEN YOU WERE JUST STARTING. I CAN'T BELIEVE THAT YOU'RE NOW 8.9M STRONG!! IT FEELS TOUCHING TO SEE YOUR GROWTH!!",3
266,Why’s my life so confusing 😢 I’m from Saudi America Pakistan  and I’m British but I say mostly America barely speak Arabic 😅 live in saudi and my accent is kinda weird towards British sometimes but in English 😢,0
267,You're amazing teacher let me clap for her 👏,3
268,"Americans: candy 
Uk: sweets
Arabs:halwa",4
270,i could make with you every tests in this world which you want,3
272,I am American 😊,0
273,"1: Truck 

2: candy 

3: cookie 

4: sweater ( wtf is jumper  💀 ) 

5: Dick",4
274,"Very Good Information You Give, Thank you , keep it up all the best.  I Am  from Pakistan.",3
275,wishing my daughter a fabulous birthday,3
276,why did i call the sweet a lollie,4
277,British is better,0
278,Cookie is same and cand evryt is same so,4
280,"American english 
👇",0
281,"American: cookie 
British: biscuit 

India: biscut",4
282,In india they call it the petrol station thats why i picked petrol station instead of gas station but all the other ones i got american😂,4
283,"Hi , Marina. You are a good teacher",3
284,"Her : what's this?
Me : Money 🤔",1
285,Can you do some series of lessons to prepare for ilets exam in an amazing playlist as usual ❤️❤️❤️ we always trust you 🥺🤍🤍 I love u so much 💋♥️♥️🩹 from Algeria 🇩🇿♓,3
286,"them : Zucchini/Courgette 😊
Me : Cucumber 😳







honestly tho it doesn’t look like a zucchini or a courgette😂😂😂",1
287,"American says - candy 
British says. - sweet 

Indians say's - chocolate /toffee",4
288,"19:20 should it not be ""will have ALREADY started"", though?",1
290,May I get the pdf link of this book?,3
291,I have an Australian accent so I say sweeta not sweeterrrr,0
292,"ahh so cringe thats not a biscuit
we also call that cookie...",4
293,"American: eggplant
British: aubergine
And me: bigan",2
295,It's kind of hard,1
296,"Thats not a biscuit thats a cookie
We dont call bicuits and cookies both biscuits",4
298,"In California it is called, ""CRAHW-SAWNT.""",1
299,"we all thougt it would be, yk wht",1
300,british is not a language you are speaking woerd english,0
301,"The kid who is internet addicted


First one FAT 

Second one TAM POT

Third one cookie

Fourth one SWEAT

Last one DIC-",1
302,Nope Indian English,0
304,INDIAN people have mixed english  british/ american,0
305,English ofc,0
306,"American eggplant 
Britiah au ergine 
Me: d*ck",2
309,American English,0
311,"Thank you so much Marina for this video.
In this i leaned few things like try to think in English without translating from your mother tongue.
Talk to people in English.
Name the objects every day to 
see.
Talk to yourself in English without thinking about others.
Try to follow one person, watch his or her content videos daily.
Make a videos of you talking in English.
And lot more 🙏🙏",3
313,I'm 100% American,0
315,"Le me

🥒 - Cumuber
🔦 - Torch
🗑️ - Dust bin
⛽ - Petrol bunk
📱 - Phone",1
317,"Hi dear how do you do I was very busy so that I couldn't able to watched your channel one nice friend too askec with me what's up me. More overi listened lot of channel which British accent is good my vote is only for British accent. In case in future if I born in the world I should born in British only because of which is best ancient language (accent) known. As for I know American is the peep through guys  why am I saying this from the last 10 days war has been started in the mean while American president said, "" That war should be raised because who is gathering all over 40 countries in the world indeed if started like this 3rd world War will be raised so that I pray should not raised the war again so everyone should pray with God as this  dear❤",0
319,"Why did i hear "" a virgin """,1
320,I speak English😅 but kinda I say sweets or candy lol ❤,4
321,I say brinjal instead of aubergine and eggplant,2
322,I'm un india and say british,0
323,"American:eggplant 
British:aubergine 
Me: is that a di**",2
324,Dic-,1
326,Really fascinating video......... Happy for this video.  ... Futhermore you helped me a lot,3
328,Why does everyone think that people from the UK say biscuit we only say biscuit if it’s a biscuit we say cookie like everyone else if it’s a normal cookie i’m just sick of hearing this,4
329,"American= zucckini
British=courgette
Me=cucumber",0
330,How should people know about a town in the uk when most people around me think of Europe as a country,0
331,Hi your video is significantly mesmerizing moreover i adore it...... Thank you,3
332,Thank you,3
334,You forgot other major English speaking countries like Australia,0
335,"American:Eggplant
British:Aubergine


Me: di- i mean Brinjal...",2
336,"How i answer it:
1st:cucumber
2nd:flashlight
3rd:trash can
4th:gas station
5th:phone",1
337,"Zucchini in america courgette in british:

me: pepino",2
338,The best teacher ❤,3
339,So I am an American born in India,0
340,Nice I am from Bihar India but I like your all video,3
341,"Americans:trash can
Me:my ex💀",0
344,I just realized that i speak both of them i guess i need to go back to my English class now 😐,0
345,So easy!,3
346,"Ppl ho said cucumber in the first one


             👇",1
347,Last one is a D-,1
351,😂😂 i thought it is your baby😂😂 it is not a croissant it is monster croissant,1
352,"truck
tofee
biscuit and cookie
shirt or sweater (depends)
eggplant",4
353,All American,0
355,"American:Eggplant
British:Aubergine 
Me:Pen-",2
356,You speak German very well 🎉 congrats I am learning German also ❤,3
358,"american: eggplant
british: aubergine
me: talong",2
360,"American- Sweater
British- Jumper
Me- Jacket",0
363,ho is fir last say dick,1
364,I AM CROATIJA,1
365,"Hello , from Morocco, I am Ahmed learning English make powerful and changing my mindset by have different cultures from other civilizations",0
367,"In Britian, biscuits are only the ones without chocolate or anything. We still call chocolate cookies, cookies.",4
370,"American: eggplan
Great British Aubergine

Me:penut butur",2
372,Your channel is so helpfull thank you so much,3
374,"Truck 
Toffee 
Biscuit 
Sweatet 
Brinjal",4
376,I am British coz I am sg😊,0
377,Im Indian so i dont know the difference between british and American,0
378,How about I’m interested in making crafts,3
379,U speak only American English😊,0
381,I speak American 😂❤,0
382,"Ohh my god last one is hard to pronounce for me 

I learn American English",0
383,For one test I have a question. İs ''If James were'' or ''If James was'' ?,1
384,You are a champion Marina Thank you!,3
385,Last one was not eggplant or aubergine it is Thanos,2
387,"❤Finally got it
Thanx a lot",1
389,"People who said last one Brinjal
👇",1
390,"Hello Marina, I am so grateful for this meditation, which made it very peaceful to face obstructions in the way of TOEFL learning. Thanks, relistening once a day and keep away from anxiety.😅",3
392,"American : eggplant
British: aubergine 
Le me : brinjal 🥴",2
396,Im American but i just say aubergine cuz its fun to say,2
397,"person A: Is this bag yours?
Person B: Yes, that's mine.
In this conversation, why did person B use 'that'? Because bag is near to him. I think he should have used 'this'.
please explain the concept.",1
399,Why would you made the sound of knocking? Lol,1
400,it’s not the croissant is huge but it’s she got downsized,1
402,All right,1
403,Thank you 🙌✨,3
404,Very helpful video ❤❤,3
405,"I love your teaching so much.
I love Both accent so much. 
I follow both mam. 
Thank you so much mam.
Excellent Explanation.",3
408,THE LAST ONE WAS DOC,1
409,Im finnish im still good at american english,0
410,Thanks linguamaria cause i learnt british from your channel,0
411,He went to Hungary in 1990,1
412,"Help, why did I say ""Shoe"" instead of sneakers or trainers?????????????????",1
413,I'm from Malaysia,0
414,I thought the eggplant one was penis,2
416,"Excuse me , would you mind doing me a fevor",1
417,"Excuse me ,would you mind doing me a favor",1
418,Candy,4
419,"Hello, I'm from the Philippines ❤️",0
420,"I'm in English class and we say ""sweater"" and also ""jumper"";",1
421,what is  been  to and  ing  different,1
422,A Canada so I say those things in French,0
423,"I am from Afghanistan, and right now I am in the United States and I was this watching you",0
424,This is a good way to talk.... for beginners like me...❤,3
425,Cati isnt tricky at all,1
426,ma’am that is a fleece,1
427,I will kaonashi those food in belly to get my money worth😂😂😂😂😂😂😂😂,1
428,Become American English,0
429,That are balls,1
431,"We did not need this tutorial lool..that's a bad friend, you have been corrupted, she must have been jel",3
433,"""AcccccctuAAAAly it's a crispy chocolate chip biscuit, the first one is a vehicle or more accurately it's a vehicle that transports goods in a designated area, the candy or do I dare say sweet food is wrapped so it's a wrapped sweet food, the purple coloured vegetable can be called ""brinjal"" ""🤓",4
436,I thought it was dick,1
439,The eggplant was sus🙄🙄🙄,2
441,I'm a British and I failed 😑,0
442,"American: candy
British: sweets
Me: treat 😅",4
443,WHERE THE HELL OUT DOES BRINJAL CAME FROM?,1
444,Bruh I’m full British 😂,0
446,I speak bitish,0
447,"There is also another awesome construction in Russian: “да, ладно! Da, ladno! “It consists of 2 confirmations like yes and good/well, but together the meaning is changing vice versa: “No! It’s impossible! Serious?! I Don’t believe! “It’s usually an exclamation and a question at the same time!”😮",1
448,"""how to watch a movie faster... skip to the ending"" 💀",3
449,Last one is a dic.......,1
450,"America-Zucchini 
British-Courgette 
India-Cucumber",2
451,Me about to say pe,1
452,Your English is still far from perfect. It's unfortunate you cannot accept it.,0
453,A bit of both,1
455,"it is too simple,  cant show real level, even around",3
457,Yoo what💀🍆WTF UR BIEHG SUS-,1
458,JAJAJAJA IT'S SO HILARIOUS AT THE BEGINNING,1
459,Lorrys and trucks are different things,4
461,I thought the eggplant meant something else 😵😵😵 I want to punch myself so bad rn,2
462,You are my prefere teacher ❤❤❤,3
463,i was scared when it was eggplant,2
464,I found that I don't speak English,0
465,"1: it's a trunk 
2: it's candy 
3 : it's a cookie 
4 it's a sweater 
5: it's a eggplant",4
467,"Its not french fries, ITS FRESH FROIZ.




Shoutout to the Belgians.",4
469,Long Life to Ukraine.,1
470,Long Life to Ukraine.,1
471,Long Life to Ukraine.,1
472,Long Life to Ukraine.,1
473,Long Life to Ukraine.,1
476,I'm British but after I feel America,0
479,Indians: Learning both of them so that they can write synonyms in exam,3
480,Me toffe,4
481,I'm from Greece.😢❤,0
482,Thank you Marina for teaching us this study plan.,3
483,So what Af is brinjal????,1
484,So i got B1 A1-A2 fully correct than Crashed on B2 and got C1 fullt correct again ;-;  no wonder  i keep being stuck on B1  i dotn have grammar   ideas xD,3
485,"I'm from Argentina and I was taught British english, but I'm already used to speak American english even though my teachers are constantly trying to get me to speak British english, LOL.",0
486,American,0
489,"American - sweater
British - jumper 
Those who said - Shirt 👕",0
490,Zucchini? coyrgette? nah its CUCUMBER!,1
492,I want a partner 🙂,3
493,What about tofeeee,1
494,"Marina , I was all ears !",1
495,Fries are from belgium like if u dit not know this,4
496,"I think the last ans must be ""english""😅",0
500,Both,1
501,You actually have a very strong Russian accent. You don't sound American at all.,0
504,I said toffee not candy or sweets lol.. I said brinjal and neither eggplant nor aubergine,4
505,We tell body part banana,1
507,Thanks...I hope this gonna work,3
508,"🎉🎉🎉It's really great sharing wonderful
Superb
Great
I m forming a series i hope u really like it vst and giv ur suggestions how it's",3
510,"Zucchini  American....courgette in British 
Me ...cucumber 💀😭🤣",2
511,Ring could be a big circle as in pacific ring of fire,1
513,"Hi Marina, thank you for sharing your motivated words,that are still helping me to be so confident while speaking English........... I'm learning English to visit every country in the world and to help the people who are in need,i really want to connect with the world.Thank you soo much Marina for building us strong in English.......😊",3
514,I Am From India Finally I Got Difference Between To And For... Thanks for 🥰,0
515,"Hi. Is it correct to say,, in more details'' instead of ,,in more detail''?",1
518,Bro i sed Dick💀,1
519,Thank you so much for this great video !,3
520,I speak both❤😅,1
522,Bro what is the stuff called brinjal 💀,1
523,Bothhh,1
524,"American : Egglant
British : Aubergine

Me as Indonesian : Terong👁👄👁",2
525,That's a brinjal bro,1
526,"American: Sweater
British: Jumper
Me: Hoodie",0
527,the last is called dic- i mean..uh.....EGGPLANT eggppant,2
528,"great video! One nit: ""coach"" is pronounced with an ""oh"" like ""football coach"", or ""approach""",3
529,British 😊,0
531,I only missed 1,1
532,Hi linguamarina can someone talk to you privately?,3
533,"American:Truck
British:lorry
Me:Car 💀💀💀",0
534,"Bottle=Bo,oh o, wa,er",1
538,Is it too late to say sorry 😂,1
539,In Malaysia we learn British English but we talk in American + British + Local Language 😂,0
540,"Unfortunately...both..😢.
Love from Athens Greece",1
541,Money shoe sticker,1
542,I am an Indian I say brinjal to the last one,1
543,indian english,0
545,"Indian - truck 
              Toffee 
              Bicut 
               Sweater 
              Bengan 
Like who are indians here",4
546,"What dress is this mam, new model?",1
548,Thats a jacket,1
549,I am a British,0
550,I knew that cacti was a word,1
551,"American: Eggplant
British: Aubergine

Me: PENI-",2
552,dude chips are different and fries are different,4
553,"I am not a professional guy. I am just studying from you because I am not so good at saying or writing in English. I am a 14-year-old student. My friends are saying English well by using new words, not me. The sentence I am using as usual has not new words. And thanks so much for your videos. Sometimes, I wish that I was born from somewhere where the people speak in English as their mother language. But I will try my best to speak in English as well as I can even though I wasn’t born from there.❤❤❤",0
554,hello! I' from Algeria I learnt English  13 years ago but I stopped dealing with it since 2010 now I got,0
555,Both,1
556,I thought the last one was pe/nis ☠️,1
557,"Money 
Shoe",1
558,Ones who said bandage not band-aid 😅,1
560,Im American,0
561,Egypt and I hate Israel free Palestine,1
562,"Me:

Lorry
Toffee
Cookie
Jersey
Brinjal",4
563,i fell at ease since i followed this Marina's channel,3
565,"American: eggplant


British: aubergine


Me:Peni-",2
568,"Australian English (learn this so you don’t confuse the f outta people in Australia okay)
1.truck
2.lollies
3.Bikkie
4.jumper
5.eggplant 
THERE YOU GO!!!!!!!",4
569,Both,1
570,"I've been following Linguamarina for 2 years.

I've been following Lingumarina since 2021.",3
571,"American-eegplant
British - aubergine

Me- baigan🍆",2
574,"No it’s actually 🙂
1) money 
2)tata
3)shoe
4)bandage
5)alu fry",1
575,Which means im 50% american and 50% britian…,0
576,"American: eggplant
British: aubergine 










me:PP",2
577,"Americans: Hi
Indians: Hello, huw r u fine?",0
578,Im from malaysia 🇲🇾,0
581,My pronounce is  kroisan ..!😅,1
582,"I am not from America
I was just taught American English :3",0
583,I have been watching since a month but only i watching ur face 😂,3
584,for some reason it seemed to me that Marina was not in the mood,1
585,on foot,1
587,"Her bill/note 

Me: cash...",1
588,"For study with you of this lesson,I bought a Porsche",3
589,I took 8 hour in a daily basis during 8 months while living in California Santa Cruz. It lifted my english level a bunch,3
590,I think i'm half American and half British,0
591,"Hi Marina, I tried to download the workbook but I haven't received an email. Thanks",3
592,I’m from India and I want to buy this book please assist how to make a payment in INR,3
593,🤔 yellow blue butts ?! 😂🤪,1
594,I'm from philipens but i speak American English😊,0
595,The Russians are realists! The Americans are a piece of shit!,0
596,I in thai and speak ameracan but teacher keep me say British words,0
597,Hi there i am from Bangladesh and you are so good adviser and so cute 💝🌹🌺,3
598,"What do you do in your free time?
Me: sleep. Eat repeat",1
599,candy swewets but i say lollies,4
600,I want to be a Hygienist here in USA but I need to improve my English. Thanks for this meditation.,3
601,America,0
602,You’re amazing 🙏,3
603,i said bread for the cookie...,4
604,Bro that is a chocolate chip cookie no matter where you are from im from England,4
606,"I'm American. I normally say: ""Fala comigo, o que que vc ta arrumando?. Como um bom mineiro que sou""

America is not only the U.S. think about it.

Have a nice day!",0
607,"As an American, I don’t say that",0
609,"Where do I get all this sections from, e.g. for reading ?",3
610,Good ay mate is my auntie,1
611,In Arabic is dic*,1
613,"As a Pole, I'm neither American nor British and I say bakłażan 🍆",0
615,im british and i say cookie choco chip cookie and i say eggplant,4
617,I need it. Please teacher. Where can i buy it?,3
618,Learn how to pronounce before you go giving advice. Are the product of the Public School System?,3
620,well im totally american (bro im an aussie),0
622,"To reckon: I think 
Fabricated: manipulated",1
623,british says mobile phone your having a laugh just think about it.................. phone,0
