authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt
ikram nader,https://yt3.ggpht.com/ytc/APkrFKbmZdT1z6fXEeoFaSwYEuv1pt9TdxaiaPpJsBG3_g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOjjnu1bu9sYuXJX3FEfypA,{'value': 'UCOjjnu1bu9sYuXJX3FEfypA'},UCAQg09FkoobmLquNNoO4ulg,jU3bd_vTJdk,"Hello, please read this 🙏🏻 This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They&#39;re letting them star&quot;ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! ✊🏻","Hello, please read this 🙏🏻 This is what is happening in  Pal,est!ne kids are ki. lled here people are defending what is theirs innocent souls are  mu. rd/ered ! They're letting them star""ve to de*a th no water no electricity no food this is barb, aric !  please check these pages and you will see what the western media are hiding from you : @motaz_azaiza @eye.on.palestine  @ahmedhijazee @saleh_aljafarawi STAND WITH PAL,EST!NE and make people see the truth of the bru,tal behaviour of Isr:ael!!! ✊🏻",,True,none,0,,2023-10-14T22:04:51Z,2023-10-14T22:04:51Z
Юля Горетая,https://yt3.ggpht.com/kyQhlx0OWKz3jFXw2GpdgIYBXi0zny9lOQl4X1iOW4t-nu6vbi4UCdwWMCAm9N5K7At-jkLsJg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCun_e8kmjmxXJHEHNTRU0uA,{'value': 'UCun_e8kmjmxXJHEHNTRU0uA'},UCAQg09FkoobmLquNNoO4ulg,NYWFNp-qa5E,Congratulations🎉🎊🥳💛💛💛,Congratulations🎉🎊🥳💛💛💛,,True,none,0,,2023-10-14T21:52:25Z,2023-10-14T21:52:25Z
Milad Milad,https://yt3.ggpht.com/ytc/APkrFKZwHnuUY9JAg-nxxYa_VAPm1307z6zmxDuqac8o45uJjK5x2ppsy7MN7hj-mwVP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCn4l5ReSIsRQt-XDjhs1YCg,{'value': 'UCn4l5ReSIsRQt-XDjhs1YCg'},UCAQg09FkoobmLquNNoO4ulg,Jzs91sQazrk,I was born in Syria<br>Yes I do have one brother<br>Every Friday and sometimes in Saturday and Thursday<br>I would like to see you marina<br>I would like to visit USA,"I was born in Syria
Yes I do have one brother
Every Friday and sometimes in Saturday and Thursday
I would like to see you marina
I would like to visit USA",,True,none,0,,2023-10-14T21:42:23Z,2023-10-14T21:42:23Z
Afshar Art Academy,https://yt3.ggpht.com/_Cbv8YIjDQoK_f7qFLlufSum4F9U3YfGQc4x3iJnhOAflzbTzeFrMT_lLXiEkpBD713tqDCH6ag=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCBOdTI_FfGxWM0rZZxoJinw,{'value': 'UCBOdTI_FfGxWM0rZZxoJinw'},UCAQg09FkoobmLquNNoO4ulg,X2zv99LvY5o,❤❤❤,❤❤❤,,True,none,0,,2023-10-14T21:36:39Z,2023-10-14T21:36:39Z
Борис Иванов,https://yt3.ggpht.com/ytc/APkrFKZ9GbCgrgfXGX3cF3AweVVJfxiiDdLTsaWa2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjWHk43DpPz70xm78mep4aQ,{'value': 'UCjWHk43DpPz70xm78mep4aQ'},UCAQg09FkoobmLquNNoO4ulg,oaqRo4zgguI,Very cute Emily ❤,Very cute Emily ❤,,True,none,0,,2023-10-14T21:31:49Z,2023-10-14T21:31:49Z
Moin Moin Rhabarber,https://yt3.ggpht.com/ytc/APkrFKZ-njxM0896a8NREs6EHxbHhErWzufjLIa389K6zckxGgHv5cIucEhhlHrKg7eC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLK4QkCJ3CyTAGhuMFoFrrg,{'value': 'UCLK4QkCJ3CyTAGhuMFoFrrg'},UCAQg09FkoobmLquNNoO4ulg,U4cIssgL3VE,As a German this is one of the few times I hear a foreigner actually speaking German well. 😅👍,As a German this is one of the few times I hear a foreigner actually speaking German well. 😅👍,,True,none,0,,2023-10-14T21:17:23Z,2023-10-14T21:17:23Z
Le pro gamer,https://yt3.ggpht.com/Z3y49dp2nwsLHBmR-0FvB_R-tXZ5wMTgIVg4NpFvxEI_tRGnVmIPzLOib1zGam5lxX4k8WVa=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC0gvANd_MqQSHMJmUY8bLiw,{'value': 'UC0gvANd_MqQSHMJmUY8bLiw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,5/5 american,5/5 american,,True,none,0,,2023-10-14T21:04:30Z,2023-10-14T21:04:30Z
HarrisonKW10,https://yt3.ggpht.com/R3K16GkjDbu1L0oLwYBiDndZctcCxzPHdm9VfFgzQ3oQl8MOXrBXegJRdcFGuQcww7RHGz6vKw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgdW4vK8a6frA4YLC5IQjNQ,{'value': 'UCgdW4vK8a6frA4YLC5IQjNQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I’m British but I got two British ones…,I’m British but I got two British ones…,,True,none,0,,2023-10-14T21:01:20Z,2023-10-14T21:01:20Z
Igor Art,https://yt3.ggpht.com/ytc/APkrFKbb5x9o-d4aoGqRbCR3L9tSjbb3TabAWARPbQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCiWw9FLR8zj8xXDQjBIYenQ,{'value': 'UCiWw9FLR8zj8xXDQjBIYenQ'},UCAQg09FkoobmLquNNoO4ulg,Dnfh3EQtaWw,Votre prononciation est très bonne pour les débutants. 👍,Votre prononciation est très bonne pour les débutants. 👍,,True,none,0,,2023-10-14T20:34:40Z,2023-10-14T20:35:46Z
HiNoMegami,https://yt3.ggpht.com/ytc/APkrFKZEZah-P-K_S7q7PH9q9mSPbt19uXrW_ZeKiynTbg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCit7UZpWkjGrUO8rSWffOzA,{'value': 'UCit7UZpWkjGrUO8rSWffOzA'},UCAQg09FkoobmLquNNoO4ulg,-6SV54Yqnjg,since entrepreneur is taken from French it&#39;s really easy for me x),since entrepreneur is taken from French it's really easy for me x),,True,none,0,,2023-10-14T20:34:24Z,2023-10-14T20:34:24Z
Roberto Chavez Jr,https://yt3.ggpht.com/ytc/APkrFKZMUzYu-uPvE3yuUN7Hs_Z5O3YD1bOvIqBKk9ke5262IYg0uSqfFdAylHhj7Z2W=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCHy9zn8WeUhwbqhOup6jLYA,{'value': 'UCHy9zn8WeUhwbqhOup6jLYA'},UCAQg09FkoobmLquNNoO4ulg,rgUuc_yZ56I,"Fabulous,like.","Fabulous,like.",,True,none,0,,2023-10-14T20:33:10Z,2023-10-14T20:33:21Z
Lang Truong,https://yt3.ggpht.com/ytc/APkrFKZOPMsu6rLvQr11rE_ralFfEciyEyFSHPfizw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCCIBQ13l5ELKdfj9uqtexXg,{'value': 'UCCIBQ13l5ELKdfj9uqtexXg'},UCAQg09FkoobmLquNNoO4ulg,-6SV54Yqnjg,I fail the last one,I fail the last one,,True,none,0,,2023-10-14T20:30:52Z,2023-10-14T20:30:52Z
theotherobsidian,https://yt3.ggpht.com/DuqywSgSafHtcBYY6bo7w5r7hgzk9sTQSCqzQ9ho2-nRi6_17w94Cbx9wSz0Krr3YCckQKB0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFZEQlFsZzngow09H5mA4Kg,{'value': 'UCFZEQlFsZzngow09H5mA4Kg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,America:eggplant<br>British:aubergine<br>Me:pp,"America:eggplant
British:aubergine
Me:pp",,True,none,0,,2023-10-14T20:25:30Z,2023-10-14T20:25:30Z
hi_bye_lie.-.,https://yt3.ggpht.com/4GsivM_1vV42Hm1t3JZ69xxfOxrFT0fuWknP-QkkN7siqytN3UyIGBgZhoGKZju0U6UceBX6=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC3hHkdZmuAk-dAgwrxREouw,{'value': 'UC3hHkdZmuAk-dAgwrxREouw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Me when I&#39;m a mixture of both 😂,Me when I'm a mixture of both 😂,,True,none,0,,2023-10-14T20:24:10Z,2023-10-14T20:24:10Z
Jeannite Family,https://yt3.ggpht.com/RVbSTYd_hj2B5w6L9a1OwjFB2MCnLgBbRTBfGVR_JIftCWb_sR6xQ9XsXWcPJd68fvp8mxRI2w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkflpc7i80wPY4OHgmeeo5Q,{'value': 'UCkflpc7i80wPY4OHgmeeo5Q'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,It&#39;s similar to French,It's similar to French,,True,none,0,,2023-10-14T20:02:58Z,2023-10-14T20:02:58Z
Roselin Morales,https://yt3.ggpht.com/ytc/APkrFKYlO7SRgSPof_5pUk6CVhDmuzMmJVwWXqlxfZ7d8FVroZRAKhvFqyyLESigIpGH=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC5v9J0KJk1Bn3BXCjQvBGtA,{'value': 'UC5v9J0KJk1Bn3BXCjQvBGtA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,American people:eggplant<br>Me:dick,"American people:eggplant
Me:dick",,True,none,0,,2023-10-14T19:58:19Z,2023-10-14T19:58:19Z
hdwumah,https://yt3.ggpht.com/ytc/APkrFKaFExhaI4V8wwLXNC4bd8qPUREJQgVNzz0OXg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCisI9z3LgnREZqnB4P9uAoQ,{'value': 'UCisI9z3LgnREZqnB4P9uAoQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,BRUH IM QUATER AMERICA. I SPEAK BOTH LOL,,True,none,0,,2023-10-14T19:48:36Z,2023-10-14T19:48:36Z
@skeleton,https://yt3.ggpht.com/zwJrkIq-u5VsYrYEkFUhG6DvI3mK_e9uN6qYDfFRXg4exp71st8DkYA80bshgN2UvNWPcv4v_Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbuTT2kmIDK2gf5L0jQii8A,{'value': 'UCbuTT2kmIDK2gf5L0jQii8A'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,In Romania is not eggplant is Dick,In Romania is not eggplant is Dick,,True,none,0,,2023-10-14T19:36:16Z,2023-10-14T19:36:16Z
Rooster 1945,https://yt3.ggpht.com/NFGIh2HqGL2kSu6O5NCmG2WRWemuYexfIrRTDVcj9FXHxRS9m-rTptjjld0C2kqxgpR2B3_Jdg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDVk0d-rNBGrYrwUhgiAj9g,{'value': 'UCDVk0d-rNBGrYrwUhgiAj9g'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,America: candy<br>British: sweets<br>My mom: diabetes,"America: candy
British: sweets
My mom: diabetes",,True,none,0,,2023-10-14T19:31:51Z,2023-10-14T19:31:51Z
Daniel,https://yt3.ggpht.com/ytc/APkrFKZ-tI79EEzqAu1V6usYoEgw3ntLLBXMVv2qJuew5uwSlVIpUVHJAsJbFG8P155O=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIe8xaWstaAi922yMX0WWJw,{'value': 'UCIe8xaWstaAi922yMX0WWJw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Last he I thought in American she is gonna say penis,Last he I thought in American she is gonna say penis,,True,none,0,,2023-10-14T19:25:30Z,2023-10-14T19:25:30Z
Lafita,https://yt3.ggpht.com/sA23DQlYcANNtAqEOQKtu_vg8MG2FmhCCwpAcgC0dk63iTshPCLf6j-VKfbPecQUiNf3xv6ZlO0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCph9Gy0u3ET0snkFXoa3VEQ,{'value': 'UCph9Gy0u3ET0snkFXoa3VEQ'},UCAQg09FkoobmLquNNoO4ulg,ciM0UBHJEvs,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,Finally an English speaker that I can understand jajjajajaj thanks for the slang❤️,,True,none,0,,2023-10-14T19:20:23Z,2023-10-14T19:20:23Z
Батягина Ульяна,https://yt3.ggpht.com/ytc/APkrFKZUdPGxmsuHB2SVXDuxdupdN7GLvQXux6cozn7OEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbMcx-dobRbdoFwGyp-rEhw,{'value': 'UCbMcx-dobRbdoFwGyp-rEhw'},UCAQg09FkoobmLquNNoO4ulg,7og3c1WleZY,"Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊","Hello, Marina) i have been learning english for 3 years maybe and  now i have b1-b2 level and when i started it was in 2019 year, my level was A1, and now i proud of myself in somthing degree😊",,True,none,0,,2023-10-14T19:10:23Z,2023-10-14T19:10:23Z
Luca Leung,https://yt3.ggpht.com/ytc/APkrFKaKe7Ne3CqATtiMaP06i60uBcJNTmkhilMx8ifeM26MLNJiDp6JTXGlVfSCPvb6=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC_h7iYdrEiqzejMB6ebn_RQ,{'value': 'UC_h7iYdrEiqzejMB6ebn_RQ'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,I dont say &quot;LoRrY&quot;,"I dont say ""LoRrY""",,True,none,0,,2023-10-14T19:05:38Z,2023-10-14T19:05:38Z
FFxEDITx,https://yt3.ggpht.com/G4Iiwp5Ku_ivCuPwBQkFQGxqPb65GUzzIz16oNmU8CXDXjimN8dMGuAp6lrq-O3s2EUu1znmKw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPHsRTVhzVG1n47xTaGn6qw,{'value': 'UCPHsRTVhzVG1n47xTaGn6qw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Baigan 😂😂😂😊,Baigan 😂😂😂😊,,True,none,0,,2023-10-14T19:01:32Z,2023-10-14T19:01:32Z
AP Games,https://yt3.ggpht.com/lpFQW2FNf8vY1KAwqrKLcfJrX7xOujJsnJgHiXFDKHnRHulVs13Sc3mXDtr48ZQRYTUEvHM2nQw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGjyhpJVDTwS980apwXgPhA,{'value': 'UCGjyhpJVDTwS980apwXgPhA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Di-,Di-,,True,none,0,,2023-10-14T19:00:34Z,2023-10-14T19:00:34Z
Star Dust,https://yt3.ggpht.com/ytc/APkrFKay60PN4VX15WwOsqwbpE_VHaH6vL2NOItThO5rE36lgvCX6Da8axEFnVxMUzPY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCGygxHzS9WyXlFNwQ6EJ4tg,{'value': 'UCGygxHzS9WyXlFNwQ6EJ4tg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,"Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨","Your face ,,,make some kind of positive attraction,,,the vibe energy bla bla 🤓😂,,,informative,,,try differentiating the sentences …✨",,True,none,0,,2023-10-14T19:00:08Z,2023-10-14T19:00:08Z
hey there🙃,https://yt3.ggpht.com/p_xd-Xt9bEagIV8_GIh-gLYbZ2O7TgT5vGSTdm3hq9X8DpcllnblBNXFD-khWKyKIk7Tv1l-=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZW2tPetPe7rC5rZFws4Y3A,{'value': 'UCZW2tPetPe7rC5rZFws4Y3A'},UCAQg09FkoobmLquNNoO4ulg,iNCHuD7LI1s,seriously ! i do say this word all the time😂😂😂😂,seriously ! i do say this word all the time😂😂😂😂,,True,none,0,,2023-10-14T18:16:03Z,2023-10-14T18:16:03Z
