,textOriginal,cluster
427,I will kaonashi those food in belly to get my money worth😂😂😂😂😂😂😂😂,3
428,Become American English,4
429,That are balls,3
431,"We did not need this tutorial lool..that's a bad friend, you have been corrupted, she must have been jel",1
433,"""AcccccctuAAAAly it's a crispy chocolate chip biscuit, the first one is a vehicle or more accurately it's a vehicle that transports goods in a designated area, the candy or do I dare say sweet food is wrapped so it's a wrapped sweet food, the purple coloured vegetable can be called ""brinjal"" ""🤓",0
436,I thought it was dick,3
439,The eggplant was sus🙄🙄🙄,2
441,I'm a British and I failed 😑,4
442,"American: candy
British: sweets
Me: treat 😅",0
443,WHERE THE HELL OUT DOES BRINJAL CAME FROM?,3
444,Bruh I’m full British 😂,4
446,I speak bitish,3
447,"There is also another awesome construction in Russian: “да, ладно! Da, ladno! “It consists of 2 confirmations like yes and good/well, but together the meaning is changing vice versa: “No! It’s impossible! Serious?! I Don’t believe! “It’s usually an exclamation and a question at the same time!”😮",3
448,"""how to watch a movie faster... skip to the ending"" 💀",1
449,Last one is a dic.......,3
450,"America-Zucchini 
British-Courgette 
India-Cucumber",0
451,Me about to say pe,3
452,Your English is still far from perfect. It's unfortunate you cannot accept it.,4
453,A bit of both,3
455,"it is too simple,  cant show real level, even around",1
457,Yoo what💀🍆WTF UR BIEHG SUS-,3
458,JAJAJAJA IT'S SO HILARIOUS AT THE BEGINNING,3
459,Lorrys and trucks are different things,0
460,Last one is a di-,3
461,I thought the eggplant meant something else 😵😵😵 I want to punch myself so bad rn,2
462,You are my prefere teacher ❤❤❤,1
463,i was scared when it was eggplant,2
464,I found that I don't speak English,4
465,"1: it's a trunk 
2: it's candy 
3 : it's a cookie 
4 it's a sweater 
5: it's a eggplant",0
467,"Its not french fries, ITS FRESH FROIZ.




Shoutout to the Belgians.",0
469,Long Life to Ukraine.,3
470,Long Life to Ukraine.,3
471,Long Life to Ukraine.,3
472,Long Life to Ukraine.,3
473,Long Life to Ukraine.,3
476,I'm British but after I feel America,4
479,Indians: Learning both of them so that they can write synonyms in exam,1
480,Me toffe,0
481,I'm from Greece.😢❤,4
482,Thank you Marina for teaching us this study plan.,1
483,So what Af is brinjal????,3
484,So i got B1 A1-A2 fully correct than Crashed on B2 and got C1 fullt correct again ;-;  no wonder  i keep being stuck on B1  i dotn have grammar   ideas xD,1
485,"I'm from Argentina and I was taught British english, but I'm already used to speak American english even though my teachers are constantly trying to get me to speak British english, LOL.",4
486,American,4
489,"American - sweater
British - jumper 
Those who said - Shirt 👕",4
490,Zucchini? coyrgette? nah its CUCUMBER!,0
492,I want a partner 🙂,3
493,What about tofeeee,3
494,"Marina , I was all ears !",3
495,Fries are from belgium like if u dit not know this,0
496,"I think the last ans must be ""english""😅",4
500,Both,3
501,You actually have a very strong Russian accent. You don't sound American at all.,4
504,I said toffee not candy or sweets lol.. I said brinjal and neither eggplant nor aubergine,0
505,We tell body part banana,3
507,Thanks...I hope this gonna work,1
508,"🎉🎉🎉It's really great sharing wonderful
Superb
Great
I m forming a series i hope u really like it vst and giv ur suggestions how it's",1
510,"Zucchini  American....courgette in British 
Me ...cucumber 💀😭🤣",0
511,Ring could be a big circle as in pacific ring of fire,3
513,"Hi Marina, thank you for sharing your motivated words,that are still helping me to be so confident while speaking English........... I'm learning English to visit every country in the world and to help the people who are in need,i really want to connect with the world.Thank you soo much Marina for building us strong in English.......😊",1
514,I Am From India Finally I Got Difference Between To And For... Thanks for 🥰,4
515,"Hi. Is it correct to say,, in more details'' instead of ,,in more detail''?",3
518,Bro i sed Dick💀,3
519,Thank you so much for this great video !,1
520,I speak both❤😅,3
522,Bro what is the stuff called brinjal 💀,3
523,Bothhh,3
524,"American : Egglant
British : Aubergine

Me as Indonesian : Terong👁👄👁",2
525,That's a brinjal bro,3
526,"American: Sweater
British: Jumper
Me: Hoodie",4
527,the last is called dic- i mean..uh.....EGGPLANT eggppant,2
528,"great video! One nit: ""coach"" is pronounced with an ""oh"" like ""football coach"", or ""approach""",1
529,British 😊,4
531,I only missed 1,3
532,Hi linguamarina can someone talk to you privately?,1
533,"American:Truck
British:lorry
Me:Car 💀💀💀",4
534,"Bottle=Bo,oh o, wa,er",3
538,Is it too late to say sorry 😂,3
539,In Malaysia we learn British English but we talk in American + British + Local Language 😂,4
540,"Unfortunately...both..😢.
Love from Athens Greece",3
541,Money shoe sticker,3
542,I am an Indian I say brinjal to the last one,3
543,indian english,4
545,"Indian - truck 
              Toffee 
              Bicut 
               Sweater 
              Bengan 
Like who are indians here",0
546,"What dress is this mam, new model?",3
548,Thats a jacket,3
549,I am a British,4
550,I knew that cacti was a word,0
551,"American: Eggplant
British: Aubergine

Me: PENI-",2
553,"I am not a professional guy. I am just studying from you because I am not so good at saying or writing in English. I am a 14-year-old student. My friends are saying English well by using new words, not me. The sentence I am using as usual has not new words. And thanks so much for your videos. Sometimes, I wish that I was born from somewhere where the people speak in English as their mother language. But I will try my best to speak in English as well as I can even though I wasn’t born from there.❤❤❤",4
554,hello! I' from Algeria I learnt English  13 years ago but I stopped dealing with it since 2010 now I got,4
555,Both,3
556,I thought the last one was pe/nis ☠️,3
557,"Money 
Shoe",3
558,Ones who said bandage not band-aid 😅,3
560,Im American,4
561,Egypt and I hate Israel free Palestine,3
562,"Me:

Lorry
Toffee
Cookie
Jersey
Brinjal",0
563,i fell at ease since i followed this Marina's channel,1
565,"American: eggplant


British: aubergine


Me:Peni-",2
568,"Australian English (learn this so you don’t confuse the f outta people in Australia okay)
1.truck
2.lollies
3.Bikkie
4.jumper
5.eggplant 
THERE YOU GO!!!!!!!",0
569,Both,3
570,"I've been following Linguamarina for 2 years.

I've been following Lingumarina since 2021.",1
571,"American-eegplant
British - aubergine

Me- baigan🍆",4
574,"No it’s actually 🙂
1) money 
2)tata
3)shoe
4)bandage
5)alu fry",3
575,Which means im 50% american and 50% britian…,4
576,"American: eggplant
British: aubergine 










me:PP",2
577,"Americans: Hi
Indians: Hello, huw r u fine?",4
578,Im from malaysia 🇲🇾,4
581,My pronounce is  kroisan ..!😅,3
582,"I am not from America
I was just taught American English :3",4
583,I have been watching since a month but only i watching ur face 😂,3
584,for some reason it seemed to me that Marina was not in the mood,3
585,on foot,3
587,"Her bill/note 

Me: cash...",3
588,"For study with you of this lesson,I bought a Porsche",1
589,I took 8 hour in a daily basis during 8 months while living in California Santa Cruz. It lifted my english level a bunch,1
590,I think i'm half American and half British,4
591,"Hi Marina, I tried to download the workbook but I haven't received an email. Thanks",1
592,I’m from India and I want to buy this book please assist how to make a payment in INR,1
593,🤔 yellow blue butts ?! 😂🤪,3
594,I'm from philipens but i speak American English😊,4
595,The Russians are realists! The Americans are a piece of shit!,4
596,I in thai and speak ameracan but teacher keep me say British words,4
597,Hi there i am from Bangladesh and you are so good adviser and so cute 💝🌹🌺,1
598,"What do you do in your free time?
Me: sleep. Eat repeat",3
599,candy swewets but i say lollies,0
600,I want to be a Hygienist here in USA but I need to improve my English. Thanks for this meditation.,1
601,America,4
603,i said bread for the cookie...,0
604,Bro that is a chocolate chip cookie no matter where you are from im from England,0
606,"I'm American. I normally say: ""Fala comigo, o que que vc ta arrumando?. Como um bom mineiro que sou""

America is not only the U.S. think about it.

Have a nice day!",4
607,"As an American, I don’t say that",4
609,"Where do I get all this sections from, e.g. for reading ?",1
610,Good ay mate is my auntie,3
611,In Arabic is dic*,3
613,"As a Pole, I'm neither American nor British and I say bakłażan 🍆",4
615,im british and i say cookie choco chip cookie and i say eggplant,0
617,I need it. Please teacher. Where can i buy it?,1
618,Learn how to pronounce before you go giving advice. Are the product of the Public School System?,1
620,well im totally american (bro im an aussie),4
622,"To reckon: I think 
Fabricated: manipulated",3
623,british says mobile phone your having a laugh just think about it.................. phone,4
